"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"G1",6160,4511,6371,4210,6320,8349,4040,4864,10961,4091,1734,2851,1197,11350,10365,4755,1403,1993,14363,2896
"G2",106,56,124,57,46,37,4,32,72,93,23,25,107,41,18,146,12,18,83,11
"G3",14,63,48,62,32,56,39,22,12,40,29,90,12,7,2,159,26,62,10,27
"G4",35,75,95,62,68,28,51,62,57,72,8,10,11,29,37,12,99,45,29,9
"G5",78,83,63,109,77,68,55,210,86,72,61,38,122,174,111,45,20,114,11,43
"G6",531,523,528,490,426,428,253,498,328,430,176,182,358,134,191,822,576,205,115,106
"G7",96,48,25,46,76,100,75,190,93,114,19,166,123,29,269,121,43,42,23,37
"G8",29,225,91,30,49,76,48,110,98,46,23,11,48,15,28,44,20,8,18,16
"G9",1284,1724,885,2537,1624,903,949,743,2388,1832,100,134,475,214,233,430,919,379,438,324
"G10",190,829,1003,550,269,738,441,281,404,214,836,310,122,210,145,1293,172,365,205,283
"G11",183,581,273,526,261,883,196,770,157,164,42,174,426,67,75,264,177,59,367,103
"G12",607,139,384,388,178,283,541,326,299,173,72,201,26,336,134,82,97,145,90,53
"G13",589,296,547,300,101,391,276,137,296,179,64,23,134,54,43,22,123,191,24,111
"G14",167,141,40,63,80,132,104,165,153,107,54,26,78,65,44,134,15,42,25,4
"G15",192,193,219,478,451,186,425,183,428,462,77,125,68,45,15,192,360,8,29,74
"G16",181,35,65,91,49,139,89,51,110,126,19,48,13,26,18,113,15,10,7,62
"G17",48,12,46,59,42,43,4,32,64,98,3,10,3,14,5,12,6,3,22,57
"G18",755,481,374,440,416,607,362,305,86,422,770,79,193,196,95,25,117,1136,51,45
"G19",256,143,384,186,248,452,265,68,187,167,145,304,80,50,106,109,46,44,204,222
"G20",870,335,186,299,1157,683,356,319,267,289,106,165,166,146,204,188,193,463,166,1082
"G21",44,20,12,4,6,10,35,11,65,22,17,7,2,17,1,20,15,20,12,8
"G22",136,48,168,185,60,106,130,93,233,62,51,60,21,19,34,132,26,189,37,191
"G23",99,434,326,306,955,225,178,240,885,867,312,300,493,513,98,199,351,77,122,246
"G24",604,511,650,362,199,180,543,339,111,332,51,229,279,95,110,129,61,71,1028,30
"G25",429,1074,835,538,628,289,1377,340,705,557,134,324,623,183,304,815,214,769,296,210
"G26",109,503,226,161,96,118,219,210,166,215,119,137,190,47,29,27,14,58,17,29
"G27",782,777,1114,130,463,235,363,304,595,871,191,343,44,140,528,90,133,66,71,280
"G28",221,249,302,165,69,181,136,154,345,315,189,180,115,44,52,74,46,38,42,192
"G29",324,582,474,200,388,451,83,347,315,105,332,52,47,51,35,86,118,146,449,109
"G30",116,34,53,48,18,59,58,44,116,49,8,50,33,12,14,261,15,37,24,7
"G31",969,833,1279,558,2710,1530,997,2173,981,995,394,667,101,336,469,161,1556,1157,334,897
"G32",239,579,362,351,300,421,347,238,378,249,347,260,80,67,142,45,145,36,416,83
"G33",142,44,16,85,30,42,78,35,126,35,16,56,58,80,7,27,12,5,28,7
"G34",46,2,11,2,12,4,3,8,4,20,1,1,8,57,2,0,3,1,1,4
"G35",58,104,139,231,101,157,113,164,101,139,26,37,46,23,18,51,108,43,186,50
"G36",960,1553,1666,484,607,873,1492,1212,1051,475,300,367,382,182,358,366,399,249,161,237
"G37",163,233,174,285,317,384,174,326,544,145,129,101,60,23,66,46,21,141,29,38
"G38",227,322,158,248,621,430,344,318,216,221,543,172,28,186,62,49,72,223,92,330
"G39",5,9,19,43,30,14,15,16,3,34,0,39,87,7,2,13,6,78,2,8
"G40",1504,2185,740,347,783,871,632,1140,372,1456,260,1973,222,159,265,146,270,585,238,429
"G41",253,607,260,569,387,813,274,317,166,295,86,200,612,672,94,336,451,52,113,96
"G42",56,119,290,32,98,69,84,35,62,66,18,29,58,43,28,216,13,55,33,20
"G43",884,905,1768,1716,717,1493,2409,1684,2181,1131,2465,332,725,1763,545,305,303,182,312,1605
"G44",21,25,53,20,20,86,17,33,7,59,55,14,155,11,30,17,38,11,8,15
"G45",268,466,286,185,50,278,138,563,324,270,108,24,47,141,9,161,103,57,258,187
"G46",1109,271,254,840,416,283,594,476,662,614,100,799,120,160,122,40,566,259,80,945
"G47",912,1262,1034,564,1763,1380,1661,1282,1337,1267,379,588,1721,279,243,490,193,304,599,322
"G48",121,63,48,25,49,47,117,86,83,106,26,26,91,44,45,22,110,110,171,53
"G49",225,139,266,77,112,220,136,196,25,56,30,27,43,19,41,19,41,37,42,13
"G50",184,272,71,137,607,253,379,143,443,233,50,33,77,75,119,207,51,32,47,34
"G51",223,442,142,277,492,286,908,587,445,678,151,235,103,193,518,161,94,74,213,90
"G52",164,182,166,263,256,205,107,331,385,194,30,24,504,60,38,206,175,227,69,12
"G53",571,1785,1868,1349,1144,673,1323,1161,1437,251,961,226,1446,371,312,244,336,384,133,584
"G54",308,1043,381,445,836,276,243,528,344,367,145,259,94,471,177,944,76,83,75,106
"G55",59,106,59,87,124,94,149,43,56,134,120,123,63,20,77,44,11,29,19,28
"G56",859,784,879,662,1035,609,470,549,551,396,157,272,96,81,61,572,528,143,382,278
"G57",77,109,73,38,69,240,64,67,37,236,66,36,118,25,19,44,19,85,22,330
"G58",269,371,516,758,673,247,312,107,856,286,81,169,130,27,237,95,128,294,533,200
"G59",741,524,407,1089,764,773,560,941,409,797,177,296,86,449,379,816,292,233,73,594
"G60",36,161,145,131,55,62,83,49,101,116,20,18,15,76,156,131,15,10,26,6
"G61",113,114,128,111,31,192,94,80,150,160,14,46,144,84,78,39,17,74,147,10
"G62",1402,972,1148,1168,2552,1236,1257,1834,2877,984,714,407,2174,3743,1388,1358,1783,156,1046,1194
"G63",438,1032,618,193,759,384,1238,633,1118,510,190,378,124,269,177,182,347,192,169,208
"G64",366,558,309,126,569,527,471,451,665,229,747,131,479,270,47,119,273,171,109,103
"G65",124,46,54,69,88,158,50,153,56,102,62,19,16,56,42,5,83,25,39,158
"G66",205,133,38,123,136,134,36,151,114,311,395,65,21,28,52,25,164,140,16,105
"G67",34,39,25,99,62,172,31,128,44,76,67,20,12,15,43,144,17,14,8,43
"G68",168,261,654,113,210,456,362,137,186,284,43,418,46,46,47,403,80,256,200,62
"G69",448,237,609,307,399,813,1140,308,435,174,110,81,109,313,93,220,242,130,129,196
"G70",199,445,467,745,388,436,354,640,351,266,224,133,310,76,226,163,88,57,729,195
"G71",37,153,88,124,150,118,323,212,182,312,43,203,127,227,17,60,32,32,152,75
"G72",108,98,53,261,77,73,40,145,256,113,5,69,17,26,18,21,19,47,14,45
"G73",300,107,283,139,214,132,21,30,192,132,12,16,3,30,34,45,16,6,43,26
"G74",693,322,992,818,297,600,272,350,276,279,86,106,123,118,122,29,217,158,60,31
"G75",491,519,900,729,817,758,606,462,1130,493,393,189,213,221,274,155,256,119,105,319
"G76",876,991,1435,935,482,897,1234,762,770,1283,192,216,2136,825,425,376,403,216,306,139
"G77",1224,2581,1435,2169,3455,1294,2834,911,3586,1358,174,1745,1428,400,375,96,2232,2135,225,119
"G78",487,1260,927,723,652,890,865,606,1380,871,104,507,472,139,419,1914,227,121,448,741
"G79",114,103,139,241,171,118,219,78,290,136,30,97,15,43,84,76,38,89,335,43
"G80",132,122,141,65,114,62,150,35,32,96,26,6,16,29,24,51,21,58,71,16
"G81",105,89,93,156,42,98,92,190,23,62,7,5,31,109,65,15,129,138,17,18
"G82",2122,790,837,569,621,1438,405,451,353,726,121,524,76,364,206,422,374,856,126,321
"G83",447,227,357,353,292,401,223,188,370,148,77,34,209,28,166,123,48,584,361,78
"G84",127,171,212,120,353,295,178,382,157,345,55,28,92,90,90,767,24,82,58,72
"G85",226,515,651,511,551,334,305,836,342,438,533,116,177,119,249,130,71,229,606,555
"G86",250,253,180,431,249,405,270,410,220,506,531,113,623,74,462,1403,146,93,74,128
"G87",271,600,553,361,397,513,1085,711,515,782,591,319,999,431,663,236,441,115,176,267
"G88",15,13,55,52,25,6,73,37,14,9,3,2,33,11,18,12,11,21,6,16
"G89",134,154,140,64,34,81,14,86,142,54,41,29,83,28,16,24,20,68,35,48
"G90",170,234,110,375,293,114,119,348,319,262,154,76,63,44,105,147,22,43,81,66
"G91",4162,2933,1413,5846,3347,3819,3063,2716,2172,753,5483,1253,1440,2320,492,2766,776,106,2532,1786
"G92",467,671,473,445,969,927,813,994,352,1024,712,244,299,785,107,159,234,235,560,400
"G93",83,53,34,55,97,152,86,139,128,102,43,183,36,8,27,80,30,86,8,45
"G94",172,190,163,466,344,208,277,369,219,85,27,212,28,59,132,63,332,33,116,57
"G95",93,102,40,53,96,63,122,44,102,106,45,37,149,242,38,37,35,189,15,27
"G96",58,73,125,52,124,25,182,122,62,54,29,26,33,29,92,28,22,32,34,46
"G97",75,72,6,26,35,72,15,43,16,25,14,13,54,59,6,14,4,18,10,12
"G98",587,205,790,457,672,542,407,193,477,218,53,46,216,185,514,157,509,285,60,242
"G99",1010,175,418,483,288,155,365,584,407,425,513,247,350,216,723,131,77,146,55,722
"G100",893,1002,777,676,616,1130,847,1783,528,1282,454,842,636,172,112,186,316,189,493,375
