"","condition"
"GTEX-13PVQ-1026-SM-5KM3M.1","A"
"GTEX-18QFQ-0826-SM-718AX.1","A"
"GTEX-1JN6P-2426-SM-ARL99.1","A"
"GTEX-13S86-1226-SM-5S2OA.1","A"
"GTEX-132NY-0826-SM-5K7Y7.1","A"
"GTEX-ZTX8-1226-SM-4YCE9.1","A"
"GTEX-UJHI-1426-SM-3DB9C.1","A"
"GTEX-15RJE-2626-SM-7KFT1.1","A"
"GTEX-ZEX8-2226-SM-57WC6.1","A"
"GTEX-1KANA-2026-SM-DIPFB.1","A"
"GTEX-1AX8Z-0926-SM-731AW.1","A"
"GTEX-Y8LW-1626-SM-5IFHX.1","A"
"GTEX-1JN1M-3026-SM-CMKGK.1","A"
"GTEX-145MO-0826-SM-5NQBL.1","A"
"GTEX-14PJO-0726-SM-69LO8.1","A"
"GTEX-18A66-1726-SM-7LG5N.1","A"
"GTEX-1LVAM-0926-SM-E9TJ2.1","A"
"GTEX-13O3Q-2226-SM-5KM4O.1","A"
"GTEX-1F5PL-1026-SM-7RHI1.1","A"
"GTEX-14B4R-1226-SM-5TDDT.1","A"
"GTEX-145MF-2226-SM-7EPIR.1","A"
"GTEX-ZQG8-0726-SM-5P9H9.1","A"
"GTEX-1GF9V-2526-SM-7SB8K.1","A"
"GTEX-WY7C-2726-SM-3NB3P.1","A"
"GTEX-14PN4-0626-SM-62LFP.1","A"
"GTEX-16NGA-0826-SM-718AF.1","A"
"GTEX-XMK1-1126-SM-4IHJ8.1","A"
"GTEX-S32W-2026-SM-4AD6E.1","A"
"GTEX-X261-0626-SM-3NMD9.1","A"
"GTEX-147F4-2826-SM-5NQBN.1","A"
"GTEX-1AMEY-1026-SM-718AA.1","A"
"GTEX-1P4AB-1826-SM-E76PU.1","A"
"GTEX-WXYG-2226-SM-4E3IM.1","A"
"GTEX-1I1GT-1126-SM-ARL7J.1","A"
"GTEX-1269C-2426-SM-5FQSN.1","A"
"GTEX-1ICLY-1726-SM-B2LVT.1","A"
"GTEX-ZYFC-0826-SM-5E44K.1","A"
"GTEX-1LSVX-2426-SM-E6CJX.1","A"
"GTEX-145LT-0726-SM-5S2VM.1","A"
"GTEX-1JJEA-2726-SM-ARL8V.1","A"
"GTEX-QEG5-0726-SM-D4P1T.1","A"
"GTEX-XQ3S-1326-SM-4BOPQ.1","A"
"GTEX-ZXES-0826-SM-5E43C.1","A"
"GTEX-1IE54-0626-SM-ARL8D.1","A"
"GTEX-RUSQ-2026-SM-4GIAK.1","A"
"GTEX-1H23P-0726-SM-9WG7K.1","A"
"GTEX-18A7B-2626-SM-7LG55.1","A"
"GTEX-T2IS-1526-SM-32QPR.1","A"
"GTEX-13CF2-2026-SM-5K7VI.1","A"
"GTEX-11OF3-1926-SM-59889.1","A"
"GTEX-15CHS-0826-SM-6ETZW.1","A"
"GTEX-S341-1526-SM-4AD6K.1","A"
"GTEX-1F6I4-2526-SM-7SB8F.1","A"
"GTEX-13FTY-2226-SM-5J1ND.1","A"
"GTEX-1GF9X-1026-SM-ACKX2.1","A"
"GTEX-12WSK-2226-SM-5GCO5.1","A"
"GTEX-13O3O-0826-SM-5K7WE.1","A"
"GTEX-1C475-1226-SM-7SB72.1","A"
"GTEX-1S82U-1126-SM-E9U6I.1","A"
"GTEX-13CF3-2126-SM-5IFJP.1","A"
"GTEX-1RQEC-2026-SM-DTXDM.1","A"
"GTEX-1GN2E-2226-SM-9WG6J.1","A"
"GTEX-1JMLX-2026-SM-CMKGN.1","A"
"GTEX-QMRM-1626-SM-D4P1U.1","A"
"GTEX-1HT8W-2226-SM-CGQEC.1","A"
"GTEX-11TT1-2126-SM-5GU5Y.1","A"
"GTEX-1HSKV-2026-SM-CMKGX.1","A"
"GTEX-11ONC-2126-SM-5HL6E.1","A"
"GTEX-1RAZS-1226-SM-E8VMT.1","A"
"GTEX-13VXU-2826-SM-664MA.1","A"
"GTEX-ZDTT-2126-SM-5S2O7.1","A"
"GTEX-132AR-0826-SM-5EGK6.1","A"
"GTEX-144GM-0926-SM-5O994.1","A"
"GTEX-11ZUS-0826-SM-5FQUY.1","A"
"GTEX-1HCUA-0726-SM-ACKVU.1","A"
"GTEX-1QP28-1226-SM-E9J2M.1","A"
"GTEX-1KANC-1426-SM-CYPT9.1","A"
"GTEX-YECK-0726-SM-EZ6LV.1","A"
"GTEX-TKQ2-1826-SM-33HB2.1","A"
"GTEX-1IKOH-2326-SM-CM2TW.1","A"
"GTEX-11LCK-2426-SM-5HL5F.1","A"
"GTEX-1QW4Y-1026-SM-DTXE2.1","A"
"GTEX-11DXW-0626-SM-5N9ER.1","A"
"GTEX-ZU9S-1926-SM-5NQBP.1","A"
"GTEX-1ICLZ-0426-SM-B2LW2.1","A"
"GTEX-15FZZ-0726-SM-7KUFZ.1","A"
"GTEX-1ICG6-1326-SM-ACKWR.1","A"
"GTEX-1GF9U-1726-SM-7MGY5.1","A"
"GTEX-RU1J-0626-SM-4WAWY.1","A"
"GTEX-1211K-1926-SM-5EQLB.1","A"
"GTEX-1I1GQ-0726-SM-ARZM4.1","A"
"GTEX-1HKZK-1826-SM-ADEJ2.1","A"
"GTEX-1M4P7-2626-SM-E9U5F.1","A"
"GTEX-1N2EE-2126-SM-E8VNN.1","A"
"GTEX-1EN7A-1426-SM-7PBY4.1","A"
"GTEX-1JJE9-2326-SM-ARL8Q.1","A"
"GTEX-1HSGN-1526-SM-A9SMO.1","A"
"GTEX-1NV8Z-2826-SM-E8VME.1","A"
"GTEX-1B97I-0426-SM-79OL7.1","A"
"GTEX-1GZHY-0726-SM-9WG6B.1","A"
"GTEX-1MCYP-0126-SM-E6CIS.1","A"
"GTEX-1CB4G-2326-SM-79OOI.1","A"
"GTEX-1B933-2526-SM-7IGO5.1","A"
"GTEX-14753-2426-SM-5LU8U.1","A"
"GTEX-13QJ3-0826-SM-7DHKK.1","A"
"GTEX-T6MN-0726-SM-32PML.1","A"
"GTEX-1313W-0826-SM-5EQ4T.1","A"
"GTEX-1192X-2326-SM-5987X.1","A"
"GTEX-14E7W-0826-SM-62LEJ.1","A"
"GTEX-1AX8Y-1026-SM-73KWL.1","A"
"GTEX-1MA7W-1026-SM-DKPQK.1","A"
"GTEX-1B8SG-1226-SM-7IGPF.1","A"
"GTEX-13113-1726-SM-5GCOO.1","A"
"GTEX-1L5NE-2126-SM-CY8IH.1","A"
"GTEX-15DCZ-0726-SM-69LOV.1","A"
"GTEX-131YS-0626-SM-5EGKL.1","A"
